nombre,precio_base,negocio,categoria,opciones
Tacos de Pollo,4.00,don_lomito,Tacos,
Tacos de Cerdo,4.00,don_lomito,Tacos,
Tacos al Pastor,4.00,don_lomito,Tacos,
Tacos Mixtos,4.00,don_lomito,Tacos,
Tacos de Chicharron,4.00,don_lomito,Tacos,
Tacos de Res,4.50,don_lomito,Tacos,
Torta de Pollo,3.50,don_lomito,Tortas,
Torta de Cerdo,3.50,don_lomito,Tortas,
Torta al Pastor,3.50,don_lomito,Tortas,
Torta Mixta,3.50,don_lomito,Tortas,
Torta de Res,3.50,don_lomito,Tortas,
Burrito de Pollo,3.50,don_lomito,Burritos,
Burrito de Cerdo,3.50,don_lomito,Burritos,
Burrito al Pastor,3.50,don_lomito,Burritos,
Burrito Mixto,3.50,don_lomito,Burritos,
Burrito de Res,3.50,don_lomito,Burritos,
Burrito de Choriqueso,3.99,don_lomito,Burritos,
Burrito de Chicharron,3.99,don_lomito,Burritos,
Pan con Ripio Pollo,4.50,don_lomito,Pan con Ripio,
Pan con Ripio Cerdo,4.50,don_lomito,Pan con Ripio,
Pan con Ripio al Pastor,4.50,don_lomito,Pan con Ripio,
Pan con Ripio Mixto,4.50,don_lomito,Pan con Ripio,
Pan con Ripio Choriqueso,4.50,don_lomito,Pan con Ripio,
Pan con Ripio Res,4.50,don_lomito,Pan con Ripio,
La con Queso Pollo,4.50,don_lomito,La con Queso,
La con Queso Cerdo,4.50,don_lomito,La con Queso,
La con Queso al Pastor,4.50,don_lomito,La con Queso,
La con Queso Mixta,4.50,don_lomito,La con Queso,
La con Queso Res,4.50,don_lomito,La con Queso,
La con Queso Choriqueso,4.50,don_lomito,La con Queso,
Achicharrado Pollo,5.50,don_lomito,Achicharrados,
Achicharrado Cerdo,5.50,don_lomito,Achicharrados,
Achicharrado al Pastor,5.50,don_lomito,Achicharrados,
Achicharrado Mixto,5.50,don_lomito,Achicharrados,
Achicharrado Res,6.50,don_lomito,Achicharrados,
Pizzadilla Peperoni,5.50,don_lomito,Pizzadilla L,
Pizzadilla Jalapeño,5.50,don_lomito,Pizzadilla L,
Pizzadilla XL Mixta,6.50,don_lomito,Pizzadilla XL,
Pizzadilla XL al Pastor,6.50,don_lomito,Pizzadilla XL,
Pizzadilla XL Achicharrada,9.99,don_lomito,Pizzadilla XL,
Pizzadilla XL Res,9.99,don_lomito,Pizzadilla XL,
Don Burrito Mixto,6.50,don_lomito,Don Burrito,
Don Burrito al Pastor,6.50,don_lomito,Don Burrito,
Don Burrito Res,9.99,don_lomito,Don Burrito,
Quesadilla Pollo,3.50,don_lomito,Quesadillas,
Quesadilla Cerdo,3.50,don_lomito,Quesadillas,
Quesadilla al Pastor,3.50,don_lomito,Quesadillas,
Quesadilla Mixta,3.50,don_lomito,Quesadillas,
Quesadilla Res,3.50,don_lomito,Quesadillas,
Quesadilla Choriqueso,3.50,don_lomito,Quesadillas,
Quesadilla Chicharron,3.99,don_lomito,Quesadillas,
Gringa Pollo,3.50,don_lomito,Gringas,
Gringa Cerdo,3.50,don_lomito,Gringas,
Gringa al Pastor,3.50,don_lomito,Gringas,
Gringa Mixta,3.50,don_lomito,Gringas,
Gringa Res,3.50,don_lomito,Gringas,
Gringa Choriqueso,3.50,don_lomito,Gringas,
Gringa Chicharron,3.99,don_lomito,Gringas,
Tostaditas,3.50,don_lomito,Entradas,
Nachos Carnitas,3.50,don_lomito,Entradas,
Chimichanga Mixta,4.00,don_lomito,Chimichangas,
Chimichanga al Pastor,4.00,don_lomito,Chimichangas,
Chimichanga Res,4.00,don_lomito,Chimichangas,
Chimichanga Chicharron,4.00,don_lomito,Chimichangas,
Gordita Mixta,5.50,don_lomito,Las Gorditas,
Gordita al Pastor,5.50,don_lomito,Las Gorditas,
Gordita Res,5.99,don_lomito,Las Gorditas,
Encabrona2,1.99,don_lomito,Extras,
N. Achicharrados,5.00,don_lomito,Extras,
Bebida de la Cascada,0.50,don_lomito,Extras,
Botella con Agua,0.50,don_lomito,Extras,
